Sentence,Subject,Object,Relation in Sentence,RO- Manual- Relation
"multiple factors potentially contribute to the progression of cancer in obesity and type 2 diabetes, including hyperinsulinemia and insulin-like growth factor i, hyperglycemia, dyslipidemia, adipokines and cytokines, and the gut microbiome.",hyperinsulinemia,progression of cancer in obesity and type 2 diabetes,potentially contribute to the,contributes to
"multiple factors potentially contribute to the progression of cancer in obesity and type 2 diabetes, including hyperinsulinemia and insulin-like growth factor i, hyperglycemia, dyslipidemia, adipokines and cytokines, and the gut microbiome.",insulin-like growth factor i,progression of cancer in obesity and type 2 diabetes,potentially contribute to the,contributes to
"multiple factors potentially contribute to the progression of cancer in obesity and type 2 diabetes, including hyperinsulinemia and insulin-like growth factor i, hyperglycemia, dyslipidemia, adipokines and cytokines, and the gut microbiome.",hyperglycemia,progression of cancer in obesity and type 2 diabetes,potentially contribute to the,contributes to
"multiple factors potentially contribute to the progression of cancer in obesity and type 2 diabetes, including hyperinsulinemia and insulin-like growth factor i, hyperglycemia, dyslipidemia, adipokines and cytokines, and the gut microbiome.",dyslipidemia,progression of cancer in obesity and type 2 diabetes,potentially contribute to the,contributes to
"multiple factors potentially contribute to the progression of cancer in obesity and type 2 diabetes, including hyperinsulinemia and insulin-like growth factor i, hyperglycemia, dyslipidemia, adipokines and cytokines, and the gut microbiome.",adipokines,progression of cancer in obesity and type 2 diabetes,potentially contribute to the,contributes to
"multiple factors potentially contribute to the progression of cancer in obesity and type 2 diabetes, including hyperinsulinemia and insulin-like growth factor i, hyperglycemia, dyslipidemia, adipokines and cytokines, and the gut microbiome.",cytokines,progression of cancer in obesity and type 2 diabetes,potentially contribute to the,contributes to
"multiple factors potentially contribute to the progression of cancer in obesity and type 2 diabetes, including hyperinsulinemia and insulin-like growth factor i, hyperglycemia, dyslipidemia, adipokines and cytokines, and the gut microbiome.",hyperinsulinemia,progression of cancer in obesity and type 2 diabetes,potentially contribute to the,contributes to
"multiple factors potentially contribute to the progression of cancer in obesity and type 2 diabetes, including hyperinsulinemia and insulin-like growth factor i, hyperglycemia, dyslipidemia, adipokines and cytokines, and the gut microbiome.",insulin-like growth factor i,progression of cancer in obesity and type 2 diabetes,potentially contribute to the,contributes to
"multiple factors potentially contribute to the progression of cancer in obesity and type 2 diabetes, including hyperinsulinemia and insulin-like growth factor i, hyperglycemia, dyslipidemia, adipokines and cytokines, and the gut microbiome.",hyperglycemia,progression of cancer in obesity and type 2 diabetes,potentially contribute to the,contributes to
"multiple factors potentially contribute to the progression of cancer in obesity and type 2 diabetes, including hyperinsulinemia and insulin-like growth factor i, hyperglycemia, dyslipidemia, adipokines and cytokines, and the gut microbiome.",dyslipidemia,progression of cancer in obesity and type 2 diabetes,potentially contribute to the,contributes to
"multiple factors potentially contribute to the progression of cancer in obesity and type 2 diabetes, including hyperinsulinemia and insulin-like growth factor i, hyperglycemia, dyslipidemia, adipokines and cytokines, and the gut microbiome.",adipokines,progression of cancer in obesity and type 2 diabetes,potentially contribute to the,contributes to
"multiple factors potentially contribute to the progression of cancer in obesity and type 2 diabetes, including hyperinsulinemia and insulin-like growth factor i, hyperglycemia, dyslipidemia, adipokines and cytokines, and the gut microbiome.",cytokines,progression of cancer in obesity and type 2 diabetes,potentially contribute to the,contributes to
"multiple factors potentially contribute to the progression of cancer in obesity and type 2 diabetes, including hyperinsulinemia and insulin-like growth factor i, hyperglycemia, dyslipidemia, adipokines and cytokines, and the gut microbiome.",gut microbiome,progression of cancer in obesity and type 2 diabetes,potentially contribute to the,contributes to
an unnecessarily high intake of essential amino acids--either in the absolute sense or relative to total dietary protein--may prove to be as grave a risk factor for 'western' degenerative diseases as is excessive fat intake.,excessive fat intake,risk factor for western degenerative diseases,as is,is a
neonatal malnutrition defined by birth weight (bw) is a risk factor for obesity and cardio-metabolic diseases in adults.,neonatal malnutrition,risk factor for obesity,is a,is a
neonatal malnutrition defined by birth weight (bw) is a risk factor for obesity and cardio-metabolic diseases in adults.,neonatal malnutrition,risk factor for cardio-metabolic diseases in adults,is a,is a
"overweight/obesity is a growing epidemic in the western world and a leading cause of morbidity and mortality, mainly from cardiovascular disease.",overweight,epidemic in the western world,is a,is a
"overweight/obesity is a growing epidemic in the western world and a leading cause of morbidity and mortality, mainly from cardiovascular disease.",obesity,epidemic in the western world,is a,is a
"among non-pharmacological treatment, nutrition is a promising tool for fm patients.",nutrition,non-pharmacological treatment,is a,is a
"fibromyalgia syndrome (fm) is a chronic, generalised pain condition usually accompanied by several associated symptoms, such as fatigue, sleep disturbance, headache, irritable bowel syndrome and mood disorders.",fm,chronic generalised pain condition,is a,is a
associated liver steatosis is a significant risk factor for colorectal cancer.,liver steatosis,risk factor for colorectal cancer,is a,is a
"the mechanistic target of rapamycin (mtor) is a ubiquitous serine/threonine kinase, which plays pivotal roles in integrating growth signals on a cellular level.",mtor,ubiquitous serine kinase,is a,is a
"the mechanistic target of rapamycin (mtor) is a ubiquitous serine/threonine kinase, which plays pivotal roles in integrating growth signals on a cellular level.",mtor,ubiquitous threonine kinase,is a,is a
"after menopause, adipose tissue is a major source of estrogen.",adipose tissue,source of estrogen,is a,is a
conclusion: these data indicate that crp is a risk factor for postmenopausal breast cancer among ht nonusers.,crp,risk factor for postmenopausal breast cancer among ht nonusers,is a,is a
non-alcoholic fatty liver disease (nafld) is an independent predictor of cvd in otherwise healthy individuals.,nafld,independent predictor of cvd,is a,is a
"low income, poor diet, obesity, and a lack of exercise are interrelated lifestyle factors that can profoundly alter our biologic make up to increase cancer risk, growth, and development.",low income,cancer risk,increase,"causally upstream of, positive effect"
"low income, poor diet, obesity, and a lack of exercise are interrelated lifestyle factors that can profoundly alter our biologic make up to increase cancer risk, growth, and development.",low income,cancer growth,increase,"causally upstream of, positive effect"
"low income, poor diet, obesity, and a lack of exercise are interrelated lifestyle factors that can profoundly alter our biologic make up to increase cancer risk, growth, and development.",low income,cancer development,increase,"causally upstream of, positive effect"
"low income, poor diet, obesity, and a lack of exercise are interrelated lifestyle factors that can profoundly alter our biologic make up to increase cancer risk, growth, and development.",poor diet,cancer risk,increase,"causally upstream of, positive effect"
"low income, poor diet, obesity, and a lack of exercise are interrelated lifestyle factors that can profoundly alter our biologic make up to increase cancer risk, growth, and development.",poor diet,cancer growth,increase,"causally upstream of, positive effect"
"low income, poor diet, obesity, and a lack of exercise are interrelated lifestyle factors that can profoundly alter our biologic make up to increase cancer risk, growth, and development.",poor diet,cancer development,increase,"causally upstream of, positive effect"
"low income, poor diet, obesity, and a lack of exercise are interrelated lifestyle factors that can profoundly alter our biologic make up to increase cancer risk, growth, and development.",obesity,cancer risk,increase,"causally upstream of, positive effect"
"low income, poor diet, obesity, and a lack of exercise are interrelated lifestyle factors that can profoundly alter our biologic make up to increase cancer risk, growth, and development.",obesity,cancer growth,increase,"causally upstream of, positive effect"
"low income, poor diet, obesity, and a lack of exercise are interrelated lifestyle factors that can profoundly alter our biologic make up to increase cancer risk, growth, and development.",obesity,cancer development,increase,"causally upstream of, positive effect"
"low income, poor diet, obesity, and a lack of exercise are interrelated lifestyle factors that can profoundly alter our biologic make up to increase cancer risk, growth, and development.",lack of exercise,cancer risk,increase,"causally upstream of, positive effect"
"low income, poor diet, obesity, and a lack of exercise are interrelated lifestyle factors that can profoundly alter our biologic make up to increase cancer risk, growth, and development.",lack of exercise,cancer growth,increase,"causally upstream of, positive effect"
"low income, poor diet, obesity, and a lack of exercise are interrelated lifestyle factors that can profoundly alter our biologic make up to increase cancer risk, growth, and development.",lack of exercise,cancer development,increase,"causally upstream of, positive effect"
"the omega-3 index, bmi, waist circumference, glucose, insulin, tag, high-sensitive c-reactive protein (hscrp) and alanine aminotransferase (alt) were positively correlated, and hdl and erythrocyte n-6:n-3 ratio negatively correlated with liver fat concentration.",omega-3 index,liver fat concentration,were positively correlated,correlated with
"the omega-3 index, bmi, waist circumference, glucose, insulin, tag, high-sensitive c-reactive protein (hscrp) and alanine aminotransferase (alt) were positively correlated, and hdl and erythrocyte n-6:n-3 ratio negatively correlated with liver fat concentration.",bmi,liver fat concentration,were positively correlated,correlated with
"the omega-3 index, bmi, waist circumference, glucose, insulin, tag, high-sensitive c-reactive protein (hscrp) and alanine aminotransferase (alt) were positively correlated, and hdl and erythrocyte n-6:n-3 ratio negatively correlated with liver fat concentration.",waist circumference,liver fat concentration,were positively correlated,correlated with
"the omega-3 index, bmi, waist circumference, glucose, insulin, tag, high-sensitive c-reactive protein (hscrp) and alanine aminotransferase (alt) were positively correlated, and hdl and erythrocyte n-6:n-3 ratio negatively correlated with liver fat concentration.",glucose,liver fat concentration,were positively correlated,correlated with
"the omega-3 index, bmi, waist circumference, glucose, insulin, tag, high-sensitive c-reactive protein (hscrp) and alanine aminotransferase (alt) were positively correlated, and hdl and erythrocyte n-6:n-3 ratio negatively correlated with liver fat concentration.",insulin,liver fat concentration,were positively correlated,correlated with
"the omega-3 index, bmi, waist circumference, glucose, insulin, tag, high-sensitive c-reactive protein (hscrp) and alanine aminotransferase (alt) were positively correlated, and hdl and erythrocyte n-6:n-3 ratio negatively correlated with liver fat concentration.",tag,liver fat concentration,were positively correlated,correlated with
"the omega-3 index, bmi, waist circumference, glucose, insulin, tag, high-sensitive c-reactive protein (hscrp) and alanine aminotransferase (alt) were positively correlated, and hdl and erythrocyte n-6:n-3 ratio negatively correlated with liver fat concentration.",high-sensitive c-reactive protein,liver fat concentration,were positively correlated,correlated with
"the omega-3 index, bmi, waist circumference, glucose, insulin, tag, high-sensitive c-reactive protein (hscrp) and alanine aminotransferase (alt) were positively correlated, and hdl and erythrocyte n-6:n-3 ratio negatively correlated with liver fat concentration.",alanine aminotransferase,liver fat concentration,were positively correlated,correlated with
"overweight/obesity is a growing epidemic in the western world and a leading cause of morbidity and mortality, mainly from cardiovascular disease.",overweight,morbidity,cause,causes or contributes to condition
"overweight/obesity is a growing epidemic in the western world and a leading cause of morbidity and mortality, mainly from cardiovascular disease.",overweight,mortality,cause,causes or contributes to condition
"overweight/obesity is a growing epidemic in the western world and a leading cause of morbidity and mortality, mainly from cardiovascular disease.",overweight,cardiovascular disease,cause,causes or contributes to condition
"overweight/obesity is a growing epidemic in the western world and a leading cause of morbidity and mortality, mainly from cardiovascular disease.",obesity,morbidity,cause,causes or contributes to condition
"overweight/obesity is a growing epidemic in the western world and a leading cause of morbidity and mortality, mainly from cardiovascular disease.",obesity,mortality,cause,causes or contributes to condition
"overweight/obesity is a growing epidemic in the western world and a leading cause of morbidity and mortality, mainly from cardiovascular disease.",obesity,cardiovascular disease,cause,causes or contributes to condition
"overweight/obesity is a growing epidemic in the western world and a leading cause of morbidity and mortality, mainly from cardiovascular disease.",cardiovascular disease,mortality,cause,causes or contributes to condition
"overweight/obesity is a growing epidemic in the western world and a leading cause of morbidity and mortality, mainly from cardiovascular disease.",cardiovascular disease,morbidity,cause,causes or contributes to condition
advanced glycation end-products (age) are reactive metabolites produced as a by-product of sugar metabolism.,age,reactive metabolites,are,is a
"low income, poor diet, obesity, and a lack of exercise are interrelated lifestyle factors that can profoundly alter our biologic make up to increase cancer risk, growth, and development.",low income,lifestyle factors,are,is a
"low income, poor diet, obesity, and a lack of exercise are interrelated lifestyle factors that can profoundly alter our biologic make up to increase cancer risk, growth, and development.",poor diet,lifestyle factors,are,is a
"low income, poor diet, obesity, and a lack of exercise are interrelated lifestyle factors that can profoundly alter our biologic make up to increase cancer risk, growth, and development.",obesity,lifestyle factors,are,is a
"low income, poor diet, obesity, and a lack of exercise are interrelated lifestyle factors that can profoundly alter our biologic make up to increase cancer risk, growth, and development.",lack of exercise,lifestyle factors,are,is a
prostate cancer and obesity are major public health concerns for middle-aged and older men.,prostate cancer,public health concerns for middle-aged and older men,are,is a
prostate cancer and obesity are major public health concerns for middle-aged and older men.,obesity,public health concerns for middle-aged and older men,are,is a
"methods: in a case-cohort analysis nested within the women's health initiative observational study, a prospective cohort of postmenopausal women, baseline plasma samples from 875 incident breast cancer case patients and 839 subcohort participants were tested for levels of seven adipokines, namely leptin, adiponectin, resistin, interleukin-6, tumor necrosis factor-α, hepatocyte growth factor, and plasminogen activator inhibitor-1, and for c-reactive protein (crp), an inflammatory marker.",leptin,adipokines,namely,is a
"methods: in a case-cohort analysis nested within the women's health initiative observational study, a prospective cohort of postmenopausal women, baseline plasma samples from 875 incident breast cancer case patients and 839 subcohort participants were tested for levels of seven adipokines, namely leptin, adiponectin, resistin, interleukin-6, tumor necrosis factor-α, hepatocyte growth factor, and plasminogen activator inhibitor-1, and for c-reactive protein (crp), an inflammatory marker.",adiponectin,adipokines,namely,is a
"methods: in a case-cohort analysis nested within the women's health initiative observational study, a prospective cohort of postmenopausal women, baseline plasma samples from 875 incident breast cancer case patients and 839 subcohort participants were tested for levels of seven adipokines, namely leptin, adiponectin, resistin, interleukin-6, tumor necrosis factor-α, hepatocyte growth factor, and plasminogen activator inhibitor-1, and for c-reactive protein (crp), an inflammatory marker.",resistin,adipokines,namely,is a
"methods: in a case-cohort analysis nested within the women's health initiative observational study, a prospective cohort of postmenopausal women, baseline plasma samples from 875 incident breast cancer case patients and 839 subcohort participants were tested for levels of seven adipokines, namely leptin, adiponectin, resistin, interleukin-6, tumor necrosis factor-α, hepatocyte growth factor, and plasminogen activator inhibitor-1, and for c-reactive protein (crp), an inflammatory marker.",interleukin-6,adipokines,namely,is a
"methods: in a case-cohort analysis nested within the women's health initiative observational study, a prospective cohort of postmenopausal women, baseline plasma samples from 875 incident breast cancer case patients and 839 subcohort participants were tested for levels of seven adipokines, namely leptin, adiponectin, resistin, interleukin-6, tumor necrosis factor-α, hepatocyte growth factor, and plasminogen activator inhibitor-1, and for c-reactive protein (crp), an inflammatory marker.",tumor necrosis factor-α,adipokines,namely,is a
"methods: in a case-cohort analysis nested within the women's health initiative observational study, a prospective cohort of postmenopausal women, baseline plasma samples from 875 incident breast cancer case patients and 839 subcohort participants were tested for levels of seven adipokines, namely leptin, adiponectin, resistin, interleukin-6, tumor necrosis factor-α, hepatocyte growth factor, and plasminogen activator inhibitor-1, and for c-reactive protein (crp), an inflammatory marker.",hepatocyte growth factor,adipokines,namely,is a
"methods: in a case-cohort analysis nested within the women's health initiative observational study, a prospective cohort of postmenopausal women, baseline plasma samples from 875 incident breast cancer case patients and 839 subcohort participants were tested for levels of seven adipokines, namely leptin, adiponectin, resistin, interleukin-6, tumor necrosis factor-α, hepatocyte growth factor, and plasminogen activator inhibitor-1, and for c-reactive protein (crp), an inflammatory marker.",plasminogen activator inhibitor-1,adipokines,namely,is a
"nutrition plays such a pivotal role that it may be considered a valuable treatment strategy for multiple pediatric conditions, including celiac disease, crohn's disease, short bowel syndrome, galactosemia, congenital deficiency of urea cycle enzymes.",nutrition,celiac disease,may be considered a valuable treatment,treats
"nutrition plays such a pivotal role that it may be considered a valuable treatment strategy for multiple pediatric conditions, including celiac disease, crohn's disease, short bowel syndrome, galactosemia, congenital deficiency of urea cycle enzymes.",nutrition,pediatric conditions,may be considered a valuable treatment,treats
"nutrition plays such a pivotal role that it may be considered a valuable treatment strategy for multiple pediatric conditions, including celiac disease, crohn's disease, short bowel syndrome, galactosemia, congenital deficiency of urea cycle enzymes.",nutrition,crohn's disease,may be considered a valuable treatment,treats
"nutrition plays such a pivotal role that it may be considered a valuable treatment strategy for multiple pediatric conditions, including celiac disease, crohn's disease, short bowel syndrome, galactosemia, congenital deficiency of urea cycle enzymes.",nutrition,short bowel syndrome,may be considered a valuable treatment,treats
"nutrition plays such a pivotal role that it may be considered a valuable treatment strategy for multiple pediatric conditions, including celiac disease, crohn's disease, short bowel syndrome, galactosemia, congenital deficiency of urea cycle enzymes.",nutrition,galactosemia,may be considered a valuable treatment,treats
"nutrition plays such a pivotal role that it may be considered a valuable treatment strategy for multiple pediatric conditions, including celiac disease, crohn's disease, short bowel syndrome, galactosemia, congenital deficiency of urea cycle enzymes.",nutrition,congenital deficiency of urea cycle enzymes,may be considered a valuable treatment,treats
different medical treatments are used to treat fibromyalgia and the recent guidelines suggest that the optimal treatment consists in a multidisciplinary approach with a combination of pharmacological and non-pharmacological treatment modalities.,non-pharmacological treatment,fibromyalgia,treat,treats
different medical treatments are used to treat fibromyalgia and the recent guidelines suggest that the optimal treatment consists in a multidisciplinary approach with a combination of pharmacological and non-pharmacological treatment modalities.,pharmacological treatment,fibromyalgia,treat,treats
rapamycin and new classes of mtor inhibitors are being developed to block not only transplant rejection and autoimmunity but also to treat obesity and various forms of cancer.,rapamycin,obesity,treat,treats
rapamycin and new classes of mtor inhibitors are being developed to block not only transplant rejection and autoimmunity but also to treat obesity and various forms of cancer.,new classes of mtor inhibitors,obesity,treat,treats
rapamycin and new classes of mtor inhibitors are being developed to block not only transplant rejection and autoimmunity but also to treat obesity and various forms of cancer.,rapamycin,cancer,treat,treats
rapamycin and new classes of mtor inhibitors are being developed to block not only transplant rejection and autoimmunity but also to treat obesity and various forms of cancer.,new classes of mtor inhibitors,cancer,treat,treats
"background: high intra-hepatic fat (ihf) content is associated with insulin resistance, visceral adiposity, and increased morbidity and mortality following liver resection.",high intra-hepatic fat content,insulin resistance,is associated,associated
"background: high intra-hepatic fat (ihf) content is associated with insulin resistance, visceral adiposity, and increased morbidity and mortality following liver resection.",high intra-hepatic fat content,visceral adiposity,is associated,associated
"background: high intra-hepatic fat (ihf) content is associated with insulin resistance, visceral adiposity, and increased morbidity and mortality following liver resection.",high intra-hepatic fat content,increased morbidity,is associated,associated
"background: high intra-hepatic fat (ihf) content is associated with insulin resistance, visceral adiposity, and increased morbidity and mortality following liver resection.",high intra-hepatic fat content,increased mortality,is associated,associated
"conclusions: our findings show ihf is associated with measures of insulin resistance, but not measures of visceral adiposity.",ihf,measures of insulin resistance,is associated,associated
"in summary, this review reveals the potential benefit of specific dietary interventions as non-pharmacological tools as part of a multidisciplinary treatment for fm patients.",non-pharmacological tools,specific dietary interventions,as,is a
"while there is little doubt regarding potential benefit of md for obesity, diabetes type ii, metabolic syndrome and fatty liver, critical evaluation has to be aimed at reported benefits of md in such widely metabolic diverse disorders as cancer, pulmonary disease and cognition defects, including alzheimer disease (ref. 20).",cancer,metabolic diverse disorders,as,is a
"while there is little doubt regarding potential benefit of md for obesity, diabetes type ii, metabolic syndrome and fatty liver, critical evaluation has to be aimed at reported benefits of md in such widely metabolic diverse disorders as cancer, pulmonary disease and cognition defects, including alzheimer disease (ref. 20).",pulmonary disease,metabolic diverse disorders,as,is a
"while there is little doubt regarding potential benefit of md for obesity, diabetes type ii, metabolic syndrome and fatty liver, critical evaluation has to be aimed at reported benefits of md in such widely metabolic diverse disorders as cancer, pulmonary disease and cognition defects, including alzheimer disease (ref. 20).",cognition defects,metabolic diverse disorders,as,is a
"while there is little doubt regarding potential benefit of md for obesity, diabetes type ii, metabolic syndrome and fatty liver, critical evaluation has to be aimed at reported benefits of md in such widely metabolic diverse disorders as cancer, pulmonary disease and cognition defects, including alzheimer disease (ref. 20).",alzheimer disease,metabolic diverse disorders,as,is a
"fibromyalgia syndrome (fm) is a chronic, generalised pain condition usually accompanied by several associated symptoms, such as fatigue, sleep disturbance, headache, irritable bowel syndrome and mood disorders.",fm,fatigue,accompanied by,associated
"fibromyalgia syndrome (fm) is a chronic, generalised pain condition usually accompanied by several associated symptoms, such as fatigue, sleep disturbance, headache, irritable bowel syndrome and mood disorders.",fm,sleep disturbance,accompanied by,associated
"fibromyalgia syndrome (fm) is a chronic, generalised pain condition usually accompanied by several associated symptoms, such as fatigue, sleep disturbance, headache, irritable bowel syndrome and mood disorders.",fm,headache,accompanied by,associated
"fibromyalgia syndrome (fm) is a chronic, generalised pain condition usually accompanied by several associated symptoms, such as fatigue, sleep disturbance, headache, irritable bowel syndrome and mood disorders.",fm,irritable bowel syndrome,accompanied by,associated
"fibromyalgia syndrome (fm) is a chronic, generalised pain condition usually accompanied by several associated symptoms, such as fatigue, sleep disturbance, headache, irritable bowel syndrome and mood disorders.",fm,mood disorders,accompanied by,associated
"while there is little doubt regarding potential benefit of md for obesity, diabetes type ii, metabolic syndrome and fatty liver, critical evaluation has to be aimed at reported benefits of md in such widely metabolic diverse disorders as cancer, pulmonary disease and cognition defects, including alzheimer disease (ref. 20).",md,obesity,benefit for,benefits
"while there is little doubt regarding potential benefit of md for obesity, diabetes type ii, metabolic syndrome and fatty liver, critical evaluation has to be aimed at reported benefits of md in such widely metabolic diverse disorders as cancer, pulmonary disease and cognition defects, including alzheimer disease (ref. 20).",md,diabetes type ii,benefit for,benefits
"while there is little doubt regarding potential benefit of md for obesity, diabetes type ii, metabolic syndrome and fatty liver, critical evaluation has to be aimed at reported benefits of md in such widely metabolic diverse disorders as cancer, pulmonary disease and cognition defects, including alzheimer disease (ref. 20).",md,metabolic syndrome,benefit for,benefits
"while there is little doubt regarding potential benefit of md for obesity, diabetes type ii, metabolic syndrome and fatty liver, critical evaluation has to be aimed at reported benefits of md in such widely metabolic diverse disorders as cancer, pulmonary disease and cognition defects, including alzheimer disease (ref. 20).",md,fatty liver,benefit for,benefits
"while there is little doubt regarding potential benefit of md for obesity, diabetes type ii, metabolic syndrome and fatty liver, critical evaluation has to be aimed at reported benefits of md in such widely metabolic diverse disorders as cancer, pulmonary disease and cognition defects, including alzheimer disease (ref. 20).",md,metabolic diverse disorders,benefit for,benefits
rapamycin and new classes of mtor inhibitors are being developed to block not only transplant rejection and autoimmunity but also to treat obesity and various forms of cancer.,rapamycin,transplant rejection,block,blocks
rapamycin and new classes of mtor inhibitors are being developed to block not only transplant rejection and autoimmunity but also to treat obesity and various forms of cancer.,new classes of mtor inhibitors,transplant rejection,block,blocks
rapamycin and new classes of mtor inhibitors are being developed to block not only transplant rejection and autoimmunity but also to treat obesity and various forms of cancer.,rapamycin,autoimmunity,block,blocks
